no. nodes_block,stale block rate (simblock),mean propagation time,mean propagation time 50%,median propagation time,number of orphan (mine),total block propagation time,average block interval,blocktime std dev,difficulty std dev,Simulation type,,,,,,,,
"Block interval = 10s, difficulty = 100",,,,,,,,,,,,,,,,,,
25105905,2789,205686.9855,10562.83458,11944,7955,822747942.1,9.869429664,248.5857456,4.10E+14,,,,,,,,,
25560914,2840,227239.1344,10675.64656,11680,8047,908956537.8,9.852719788,247.3297726,4.14E+14,,,,,,,,,
"Block interval = 10s, difficulty = 4000",,,,,,,,,,,,,,,,,,
47621663,5291,3093497.53,2451.402064,9924,17311,12373990118,7.942111633,140.1076615,4.71E+12,,,,,,,,,
48083445,5342,3122221.103,2550.413578,9880,17396,12488884411,7.883789284,138.5573903,7.73E+12,,,,,,,,,
"Block interval = 100s, difficulty = 4000",,,,,,,,,,,,,,,,,,
6414225,712,27478.54695,7684.438229,17272.5,1832,109914187.8,21.80292786,971.3001131,2.72E+14,,,,,,,,,
6778890,753,27830.47437,7766.684421,17588.5,1871,111321897.5,21.50887598,965.8865533,3.84E+14,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Block interval = 100s, difficulty = 1000",,,,,,,,,,,,,,,,,,
2459177,273,21295.23513,6791.314204,17178,655,85180940.53,68.56537076,4794.052301,1.34E+16,,,,,,,,,
2489940,276,21831.337,6835.693014,17289,675,87325347.99,68.48106894,4741.845611,1.35E+16,,,,,,,,,
"Block interval = 50s, difficulty = 1000",,,,,,,,,,,,,,,,,,
5267536,585,26010.69481,7424.619975,17572.02152,1452,104042779.2,35.10188812,2136.010511,6.82E+15,,,,,,,,,
5195773,577,26037.56243,7417.494985,17349.5,1500,104150249.7,34.41195966,2091.028228,6.39E+15,,,,,,,,,
"Block interval = 1s, difficulty = 1, endblockheight=100",,,,,,,,,,,,,,,,,,
6074868,674,413904778.7,184.52,9834.891302,4631,41390477868,7.532064762,17.80863219,8.96E-10,,,,,,,,,
6398749,710,418429142,171.92,9738.553778,4825,41842914196,7.741733912,24.48737457,9.14E-10,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Block interval = 50s, difficulty = 100",,,,,,,,,,,,,,,,,,
2501414,277,21521.68343,6831.990277,17210,677,86086733.7,49.18983578,2759.871116,3.82E+15,,,,,,,,,
2413300,268,21566.0142,6824.328102,17131,664,86264056.8,49.06768088,2773.526058,3.43E+15,,,,,,,,,
"Block interval = 50s, difficulty = 10",,,,,,,,,,,,,,,,,,
2188782,243,20989.00538,6770.294054,17169.5,570,83956021.51,58.91471303,3521.356498,7.05E+15,,,,,,,,,
2012587,223,21008.6771,6724.769991,17008.5,547,84034708.38,59.97353375,3804.443493,6.87E+15,,,,,,,,,
"Block interval = 50s, difficulty = 4000",,,,,,,,,,,,,,,,,,
12395954,1377,36668.87936,8971.022727,17825.87743,3581,146675517.5,14.2118221,500.6026615,2.55E+14,,,,,,,,,
"Block interval = 50s, difficulty = 1",,,,,,,,,,,,,,,,,,
1904226,211,20816.68877,6764.408956,17068,525,83266755.09,105.5026035,11278.20221,4.51E+16,,,,,,,,,
"Block interval = 10s, difficulty = 1000",,,,,,,,,,,,,,,,,,
37946668,4216,1159645.61,7486.613884,10191,12916,4638582440,8.411900912,166.3955602,3.45E+14,,,,,,,,,
37677429,4186,1198395.082,7215.294177,10230,13010,4793580329,8.456458891,163.8347658,3.40E+14,,,,,,,,,
"Block interval = 300s, difficulty = 1",,,,,,,,,,,,,,,,,,
253015,28,18753.17154,6375.530047,17180,77,75012686.15,731.5032711,99278.38812,3.86E+17,,,,,,,,,
"Block interval = 50s, difficulty = 1",,,,,,,,,,,,,,,,,,
,216,,6725,,,,,,,,,,,,,,,
"Block interval = 100s, difficulty = 1",,,,,,,,,,,,,,,,,,
903059,100,19503.09675,6514.518109,17137.5,240,78012387.01,231.8991652,25255.66002,1.11E+17,,,,,,,,,
"Block interval = 10s, difficulty = 1",,,,,,,,,,,,,,,,,,
22678751,2519,505094.8147,9732.168771,9598,7354,2020379259,11.02893263,402.4448649,1.68E+15,,,,,,,,,
testing,,,,,,,,,,,,,,,,,,
689441,76,19106.95109597193522204236501762189657050000000000000000,6457.88553363485953445762528230987596625000000000000000,17044.50000000000000000000000000000000000000000000000000,183,76427804.383887740888169460070487586282,223.18446573087557430424778750000000000000000000000000,17788.41719,5.267497611E+16
49174067,5463,1555112.78085582856705441765102132556978080000000000000000,6854.42592807480725548748265601940643100000000000000000,9761.00000000000000000000000000000000000000000000000000,16957,15551127808.558285670544176510213255697808,23.49670411071323333587743100000000000000000000000000,4665.312093,1.901920267E+16
7239240,804,22417.05274794361384961291884025015740960000000000000000,6923.86657763440729403936078907998612570000000000000000,17204.58086637008304952407973676488450000000000000000000,2038,224170527.479436138496129188402501574096,53.52260831783191614902499700000000000000000000000000,7218.636549,1.797531537E+16
2492887,276,19658.95809081358876956229361673049652960000000000000000,6511.45366282001128276389170542361238230000000000000000,17106.00000000000000000000000000000000000000000000000000,695,196589580.908135887695622936167304965296,118.45848544683781406064214400000000000000000000000000,12423.88097,1.529858927E+16
926358,102,18531.30684410544293237039744281502525940000000000000000,6386.74113079115364512834414503920890220000000000000000,16903.00000000000000000000000000000000000000000000000000,272,185313068.441054429323703974428150252594,391.92721096358472388356943700000000000000000000000000,45348.89050,1.785052608E+17
